,date,name,wholesale,retail,mall
74,2024-05-02,Cluster beans,43,49 - 55,52 - 71
75,2024-05-02,Coconut,38,44 - 48,46 - 63
76,2024-05-02,Colocasia Leaves,16,18 - 20,19 - 26
77,2024-05-02,Colocasia,26,30 - 33,31 - 43
78,2024-05-02,Coriander Leaves,8,9 - 10,10 - 13
79,2024-05-02,Corn,29,33 - 37,35 - 48
80,2024-05-02,Cucumber,25,29 - 32,30 - 41
81,2024-05-02,Curry Leaves,28,32 - 36,34 - 46
82,2024-05-02,Dill Leaves,13,15 - 17,16 - 21
83,2024-05-02,Drumsticks,40,46 - 51,48 - 66
84,2024-05-02,Brinjal,25,29 - 32,30 - 41
85,2024-05-02,Brinjal (Big),20,23 - 25,24 - 33
86,2024-05-02,Elephant Yam,25,29 - 32,30 - 41
87,2024-05-02,Fenugreek Leaves,11,13 - 14,13 - 18
88,2024-05-02,French Beans,52,60 - 66,62 - 86
89,2024-05-02,Garlic,159,183 - 202,191 - 262
90,2024-05-02,Ginger,116,133 - 147,139 - 191
91,2024-05-02,Onion Green,45,52 - 57,54 - 74
92,2024-05-02,Green Peas,42,48 - 53,50 - 69
93,2024-05-02,Ivy Gourd,25,29 - 32,30 - 41
94,2024-05-02,Lemon (Lime),66,76 - 84,79 - 109
95,2024-05-02,Mango Raw,24,28 - 30,29 - 40
96,2024-05-02,Mint Leaves,4,5 - 5,5 - 7
97,2024-05-02,Mushroom,83,95 - 105,100 - 137
98,2024-05-02,Mustard Leaves,18,21 - 23,22 - 30
99,2024-05-02,Ladies Finger,41,47 - 52,49 - 68
100,2024-05-02,Pumpkin,20,23 - 25,24 - 33
101,2024-05-02,Radish,24,28 - 30,29 - 40
102,2024-05-02,Ridge Gourd,31,36 - 39,37 - 51
103,2024-05-02,Shallot (Pearl Onion),32,37 - 41,38 - 53
104,2024-05-02,Snake Gourd,27,31 - 34,32 - 45
105,2024-05-02,Sorrel Leaves,17,20 - 22,20 - 28
106,2024-05-02,Spinach,14,16 - 18,17 - 23
107,2024-05-02,Sweet Potato,36,41 - 46,43 - 59
108,2024-05-03,Onion Big,25,29 - 32,30 - 41
109,2024-05-03,Onion Small,32,37 - 41,38 - 53
110,2024-05-03,Tomato,24,28 - 30,29 - 40
111,2024-05-03,Green Chilli,43,49 - 55,52 - 71
112,2024-05-03,Beetroot,37,43 - 47,44 - 61
113,2024-05-03,Potato,28,32 - 36,34 - 46
114,2024-05-03,Raw Banana (Plantain),9,10 - 11,11 - 15
115,2024-05-03,Amaranth Leaves,15,17 - 19,18 - 25
116,2024-05-03,Amla,60,69 - 76,72 - 99
117,2024-05-03,Ash gourd,24,28 - 30,29 - 40
118,2024-05-03,Baby Corn,53,61 - 67,64 - 87
119,2024-05-03,Banana Flower,17,20 - 22,20 - 28
120,2024-05-03,Capsicum,44,51 - 56,53 - 73
121,2024-05-03,Bitter Gourd,33,38 - 42,40 - 54
122,2024-05-03,Bottle Gourd,25,29 - 32,30 - 41
123,2024-05-03,Butter Beans,47,54 - 60,56 - 78
124,2024-05-03,Broad Beans,32,37 - 41,38 - 53
125,2024-05-03,Cabbage,22,25 - 28,26 - 36
126,2024-05-03,Carrot,46,53 - 58,55 - 76
127,2024-05-03,Cauliflower,27,31 - 34,32 - 45
128,2024-05-03,Cluster beans,43,49 - 55,52 - 71
129,2024-05-03,Coconut,38,44 - 48,46 - 63
130,2024-05-03,Colocasia Leaves,16,18 - 20,19 - 26
131,2024-05-03,Colocasia,26,30 - 33,31 - 43
132,2024-05-03,Coriander Leaves,8,9 - 10,10 - 13
133,2024-05-03,Corn,29,33 - 37,35 - 48
134,2024-05-03,Cucumber,25,29 - 32,30 - 41
135,2024-05-03,Curry Leaves,28,32 - 36,34 - 46
136,2024-05-03,Dill Leaves,13,15 - 17,16 - 21
137,2024-05-03,Drumsticks,40,46 - 51,48 - 66
138,2024-05-03,Brinjal,25,29 - 32,30 - 41
139,2024-05-03,Brinjal (Big),20,23 - 25,24 - 33
140,2024-05-03,Elephant Yam,25,29 - 32,30 - 41
141,2024-05-03,Fenugreek Leaves,11,13 - 14,13 - 18
142,2024-05-03,French Beans,52,60 - 66,62 - 86
143,2024-05-03,Garlic,159,183 - 202,191 - 262
144,2024-05-03,Ginger,116,133 - 147,139 - 191
145,2024-05-03,Onion Green,45,52 - 57,54 - 74
146,2024-05-03,Green Peas,42,48 - 53,50 - 69
147,2024-05-03,Ivy Gourd,25,29 - 32,30 - 41
148,2024-05-03,Lemon (Lime),66,76 - 84,79 - 109
149,2024-05-03,Mango Raw,24,28 - 30,29 - 40
150,2024-05-03,Mint Leaves,4,5 - 5,5 - 7
151,2024-05-03,Mushroom,83,95 - 105,100 - 137
152,2024-05-03,Mustard Leaves,18,21 - 23,22 - 30
153,2024-05-03,Ladies Finger,41,47 - 52,49 - 68
154,2024-05-03,Pumpkin,20,23 - 25,24 - 33
155,2024-05-03,Radish,24,28 - 30,29 - 40
156,2024-05-03,Ridge Gourd,31,36 - 39,37 - 51
157,2024-05-03,Shallot (Pearl Onion),32,37 - 41,38 - 53
158,2024-05-03,Snake Gourd,27,31 - 34,32 - 45
159,2024-05-03,Sorrel Leaves,17,20 - 22,20 - 28
160,2024-05-03,Spinach,14,16 - 18,17 - 23
161,2024-05-03,Sweet Potato,36,41 - 46,43 - 59
162,2024-05-04,Onion Big,25,29 - 32,30 - 41
163,2024-05-04,Onion Small,32,37 - 41,38 - 53
164,2024-05-04,Tomato,24,28 - 30,29 - 40
165,2024-05-04,Green Chilli,43,49 - 55,52 - 71
166,2024-05-04,Beetroot,37,43 - 47,44 - 61
167,2024-05-04,Potato,28,32 - 36,34 - 46
168,2024-05-04,Raw Banana (Plantain),9,10 - 11,11 - 15
169,2024-05-04,Amaranth Leaves,15,17 - 19,18 - 25
170,2024-05-04,Amla,60,69 - 76,72 - 99
171,2024-05-04,Ash gourd,24,28 - 30,29 - 40
172,2024-05-04,Baby Corn,53,61 - 67,64 - 87
173,2024-05-04,Banana Flower,17,20 - 22,20 - 28
174,2024-05-04,Capsicum,44,51 - 56,53 - 73
175,2024-05-04,Bitter Gourd,33,38 - 42,40 - 54
176,2024-05-04,Bottle Gourd,25,29 - 32,30 - 41
177,2024-05-04,Butter Beans,47,54 - 60,56 - 78
178,2024-05-04,Broad Beans,32,37 - 41,38 - 53
179,2024-05-04,Cabbage,22,25 - 28,26 - 36
180,2024-05-04,Carrot,46,53 - 58,55 - 76
181,2024-05-04,Cauliflower,27,31 - 34,32 - 45
182,2024-05-04,Cluster beans,43,49 - 55,52 - 71
183,2024-05-04,Coconut,38,44 - 48,46 - 63
184,2024-05-04,Colocasia Leaves,16,18 - 20,19 - 26
185,2024-05-04,Colocasia,26,30 - 33,31 - 43
186,2024-05-04,Coriander Leaves,8,9 - 10,10 - 13
187,2024-05-04,Corn,29,33 - 37,35 - 48
188,2024-05-04,Cucumber,25,29 - 32,30 - 41
189,2024-05-04,Curry Leaves,28,32 - 36,34 - 46
190,2024-05-04,Dill Leaves,13,15 - 17,16 - 21
191,2024-05-04,Drumsticks,40,46 - 51,48 - 66
192,2024-05-04,Brinjal,25,29 - 32,30 - 41
193,2024-05-04,Brinjal (Big),20,23 - 25,24 - 33
194,2024-05-04,Elephant Yam,25,29 - 32,30 - 41
195,2024-05-04,Fenugreek Leaves,11,13 - 14,13 - 18
196,2024-05-04,French Beans,52,60 - 66,62 - 86
197,2024-05-04,Garlic,159,183 - 202,191 - 262
198,2024-05-04,Ginger,116,133 - 147,139 - 191
199,2024-05-04,Onion Green,45,52 - 57,54 - 74
200,2024-05-04,Green Peas,42,48 - 53,50 - 69
201,2024-05-04,Ivy Gourd,25,29 - 32,30 - 41
202,2024-05-04,Lemon (Lime),66,76 - 84,79 - 109
203,2024-05-04,Mango Raw,24,28 - 30,29 - 40
204,2024-05-04,Mint Leaves,4,5 - 5,5 - 7
205,2024-05-04,Mushroom,83,95 - 105,100 - 137
206,2024-05-04,Mustard Leaves,18,21 - 23,22 - 30
207,2024-05-04,Ladies Finger,41,47 - 52,49 - 68
208,2024-05-04,Pumpkin,20,23 - 25,24 - 33
209,2024-05-04,Radish,24,28 - 30,29 - 40
210,2024-05-04,Ridge Gourd,31,36 - 39,37 - 51
211,2024-05-04,Shallot (Pearl Onion),32,37 - 41,38 - 53
212,2024-05-04,Snake Gourd,27,31 - 34,32 - 45
213,2024-05-04,Sorrel Leaves,17,20 - 22,20 - 28
214,2024-05-04,Spinach,14,16 - 18,17 - 23
215,2024-05-04,Sweet Potato,36,41 - 46,43 - 59
216,2024-05-05,Onion Big,27,31 - 34,32 - 45
217,2024-05-05,Onion Small,33,38 - 42,40 - 54
218,2024-05-05,Tomato,25,29 - 32,30 - 41
219,2024-05-05,Green Chilli,42,48 - 53,50 - 69
220,2024-05-05,Beetroot,39,45 - 50,47 - 64
221,2024-05-05,Potato,33,38 - 42,40 - 54
222,2024-05-05,Raw Banana (Plantain),8,9 - 10,10 - 13
223,2024-05-05,Amaranth Leaves,11,13 - 14,13 - 18
224,2024-05-05,Amla,60,69 - 76,72 - 99
225,2024-05-05,Ash gourd,18,21 - 23,22 - 30
226,2024-05-05,Baby Corn,55,63 - 70,66 - 91
227,2024-05-05,Banana Flower,16,18 - 20,19 - 26
228,2024-05-05,Capsicum,44,51 - 56,53 - 73
229,2024-05-05,Bitter Gourd,35,40 - 44,42 - 58
230,2024-05-05,Bottle Gourd,28,32 - 36,34 - 46
231,2024-05-05,Butter Beans,48,55 - 61,58 - 79
232,2024-05-05,Broad Beans,28,32 - 36,34 - 46
233,2024-05-05,Cabbage,21,24 - 27,25 - 35
234,2024-05-05,Carrot,45,52 - 57,54 - 74
235,2024-05-05,Cauliflower,24,28 - 30,29 - 40
236,2024-05-05,Cluster beans,45,52 - 57,54 - 74
237,2024-05-05,Coconut,33,38 - 42,40 - 54
238,2024-05-05,Colocasia Leaves,15,17 - 19,18 - 25
239,2024-05-05,Colocasia,29,33 - 37,35 - 48
240,2024-05-05,Coriander Leaves,10,12 - 13,12 - 17
241,2024-05-05,Corn,30,35 - 38,36 - 50
242,2024-05-05,Cucumber,28,32 - 36,34 - 46
243,2024-05-05,Curry Leaves,26,30 - 33,31 - 43
244,2024-05-05,Dill Leaves,13,15 - 17,16 - 21
245,2024-05-05,Drumsticks,40,46 - 51,48 - 66
246,2024-05-05,Brinjal,23,26 - 29,28 - 38
247,2024-05-05,Brinjal (Big),25,29 - 32,30 - 41
248,2024-05-05,Elephant Yam,24,28 - 30,29 - 40
249,2024-05-05,Fenugreek Leaves,12,14 - 15,14 - 20
250,2024-05-05,French Beans,49,56 - 62,59 - 81
251,2024-05-05,Garlic,152,175 - 193,182 - 251
252,2024-05-05,Ginger,108,124 - 137,130 - 178
253,2024-05-05,Onion Green,38,44 - 48,46 - 63
254,2024-05-05,Green Peas,49,56 - 62,59 - 81
255,2024-05-05,Ivy Gourd,25,29 - 32,30 - 41
256,2024-05-05,Lemon (Lime),72,83 - 91,86 - 119
257,2024-05-05,Mango Raw,29,33 - 37,35 - 48
258,2024-05-05,Mint Leaves,5,6 - 6,6 - 8
259,2024-05-05,Mushroom,90,104 - 114,108 - 149
260,2024-05-05,Mustard Leaves,13,15 - 17,16 - 21
261,2024-05-05,Ladies Finger,38,44 - 48,46 - 63
262,2024-05-05,Pumpkin,17,20 - 22,20 - 28
263,2024-05-05,Radish,23,26 - 29,28 - 38
264,2024-05-05,Ridge Gourd,33,38 - 42,40 - 54
265,2024-05-05,Shallot (Pearl Onion),35,40 - 44,42 - 58
266,2024-05-05,Snake Gourd,26,30 - 33,31 - 43
267,2024-05-05,Sorrel Leaves,17,20 - 22,20 - 28
268,2024-05-05,Spinach,16,18 - 20,19 - 26
269,2024-05-05,Sweet Potato,38,44 - 48,46 - 63
270,2024-05-06,Onion Big,27,31 - 34,32 - 45
271,2024-05-06,Onion Small,33,38 - 42,40 - 54
272,2024-05-06,Tomato,25,29 - 32,30 - 41
273,2024-05-06,Green Chilli,42,48 - 53,50 - 69
274,2024-05-06,Beetroot,39,45 - 50,47 - 64
275,2024-05-06,Potato,33,38 - 42,40 - 54
276,2024-05-06,Raw Banana (Plantain),8,9 - 10,10 - 13
277,2024-05-06,Amaranth Leaves,11,13 - 14,13 - 18
278,2024-05-06,Amla,60,69 - 76,72 - 99
279,2024-05-06,Ash gourd,18,21 - 23,22 - 30
280,2024-05-06,Baby Corn,55,63 - 70,66 - 91
281,2024-05-06,Banana Flower,16,18 - 20,19 - 26
282,2024-05-06,Capsicum,44,51 - 56,53 - 73
283,2024-05-06,Bitter Gourd,35,40 - 44,42 - 58
284,2024-05-06,Bottle Gourd,28,32 - 36,34 - 46
285,2024-05-06,Butter Beans,48,55 - 61,58 - 79
286,2024-05-06,Broad Beans,28,32 - 36,34 - 46
287,2024-05-06,Cabbage,21,24 - 27,25 - 35
288,2024-05-06,Carrot,45,52 - 57,54 - 74
289,2024-05-06,Cauliflower,24,28 - 30,29 - 40
290,2024-05-06,Cluster beans,45,52 - 57,54 - 74
291,2024-05-06,Coconut,33,38 - 42,40 - 54
292,2024-05-06,Colocasia Leaves,15,17 - 19,18 - 25
293,2024-05-06,Colocasia,29,33 - 37,35 - 48
294,2024-05-06,Coriander Leaves,10,12 - 13,12 - 17
295,2024-05-06,Corn,30,35 - 38,36 - 50
296,2024-05-06,Cucumber,28,32 - 36,34 - 46
297,2024-05-06,Curry Leaves,26,30 - 33,31 - 43
298,2024-05-06,Dill Leaves,13,15 - 17,16 - 21
299,2024-05-06,Drumsticks,40,46 - 51,48 - 66
300,2024-05-06,Brinjal,23,26 - 29,28 - 38
301,2024-05-06,Brinjal (Big),25,29 - 32,30 - 41
302,2024-05-06,Elephant Yam,24,28 - 30,29 - 40
303,2024-05-06,Fenugreek Leaves,12,14 - 15,14 - 20
304,2024-05-06,French Beans,49,56 - 62,59 - 81
305,2024-05-06,Garlic,152,175 - 193,182 - 251
306,2024-05-06,Ginger,108,124 - 137,130 - 178
307,2024-05-06,Onion Green,38,44 - 48,46 - 63
308,2024-05-06,Green Peas,49,56 - 62,59 - 81
309,2024-05-06,Ivy Gourd,25,29 - 32,30 - 41
310,2024-05-06,Lemon (Lime),72,83 - 91,86 - 119
311,2024-05-06,Mango Raw,29,33 - 37,35 - 48
312,2024-05-06,Mint Leaves,5,6 - 6,6 - 8
313,2024-05-06,Mushroom,90,104 - 114,108 - 149
314,2024-05-06,Mustard Leaves,13,15 - 17,16 - 21
315,2024-05-06,Ladies Finger,38,44 - 48,46 - 63
316,2024-05-06,Pumpkin,17,20 - 22,20 - 28
317,2024-05-06,Radish,23,26 - 29,28 - 38
318,2024-05-06,Ridge Gourd,33,38 - 42,40 - 54
319,2024-05-06,Shallot (Pearl Onion),35,40 - 44,42 - 58
320,2024-05-06,Snake Gourd,26,30 - 33,31 - 43
321,2024-05-06,Sorrel Leaves,17,20 - 22,20 - 28
322,2024-05-06,Spinach,16,18 - 20,19 - 26
323,2024-05-06,Sweet Potato,38,44 - 48,46 - 63
324,2024-05-07,Onion Big,24,28 - 30,29 - 40
325,2024-05-07,Onion Small,38,44 - 48,46 - 63
326,2024-05-07,Tomato,27,31 - 34,32 - 45
327,2024-05-07,Green Chilli,43,49 - 55,52 - 71
328,2024-05-07,Beetroot,35,40 - 44,42 - 58
329,2024-05-07,Potato,32,37 - 41,38 - 53
330,2024-05-07,Raw Banana (Plantain),9,10 - 11,11 - 15
331,2024-05-07,Amaranth Leaves,12,14 - 15,14 - 20
332,2024-05-07,Amla,60,69 - 76,72 - 99
333,2024-05-07,Ash gourd,19,22 - 24,23 - 31
334,2024-05-07,Baby Corn,48,55 - 61,58 - 79
335,2024-05-07,Banana Flower,19,22 - 24,23 - 31
336,2024-05-07,Capsicum,48,55 - 61,58 - 79
337,2024-05-07,Bitter Gourd,33,38 - 42,40 - 54
338,2024-05-07,Bottle Gourd,24,28 - 30,29 - 40
339,2024-05-07,Butter Beans,48,55 - 61,58 - 79
340,2024-05-07,Broad Beans,27,31 - 34,32 - 45
341,2024-05-07,Cabbage,20,23 - 25,24 - 33
342,2024-05-07,Carrot,46,53 - 58,55 - 76
343,2024-05-07,Cauliflower,24,28 - 30,29 - 40
344,2024-05-07,Cluster beans,43,49 - 55,52 - 71
345,2024-05-07,Coconut,36,41 - 46,43 - 59
346,2024-05-07,Colocasia Leaves,15,17 - 19,18 - 25
347,2024-05-07,Colocasia,25,29 - 32,30 - 41
348,2024-05-07,Coriander Leaves,10,12 - 13,12 - 17
349,2024-05-07,Corn,26,30 - 33,31 - 43
350,2024-05-07,Cucumber,27,31 - 34,32 - 45
351,2024-05-07,Curry Leaves,29,33 - 37,35 - 48
352,2024-05-07,Dill Leaves,10,12 - 13,12 - 17
353,2024-05-07,Drumsticks,50,58 - 64,60 - 83
354,2024-05-07,Brinjal,22,25 - 28,26 - 36
355,2024-05-07,Brinjal (Big),20,23 - 25,24 - 33
356,2024-05-07,Elephant Yam,26,30 - 33,31 - 43
357,2024-05-07,Fenugreek Leaves,10,12 - 13,12 - 17
358,2024-05-07,French Beans,52,60 - 66,62 - 86
359,2024-05-07,Garlic,167,192 - 212,200 - 276
360,2024-05-07,Ginger,113,130 - 144,136 - 186
361,2024-05-07,Onion Green,39,45 - 50,47 - 64
362,2024-05-07,Green Peas,47,54 - 60,56 - 78
363,2024-05-07,Ivy Gourd,23,26 - 29,28 - 38
364,2024-05-07,Lemon (Lime),75,86 - 95,90 - 124
365,2024-05-07,Mango Raw,30,35 - 38,36 - 50
366,2024-05-07,Mint Leaves,4,5 - 5,5 - 7
367,2024-05-07,Mushroom,73,84 - 93,88 - 120
368,2024-05-07,Mustard Leaves,12,14 - 15,14 - 20
369,2024-05-07,Ladies Finger,42,48 - 53,50 - 69
370,2024-05-07,Pumpkin,21,24 - 27,25 - 35
371,2024-05-07,Radish,27,31 - 34,32 - 45
372,2024-05-07,Ridge Gourd,30,35 - 38,36 - 50
373,2024-05-07,Shallot (Pearl Onion),37,43 - 47,44 - 61
374,2024-05-07,Snake Gourd,23,26 - 29,28 - 38
375,2024-05-07,Sorrel Leaves,10,12 - 13,12 - 17
376,2024-05-07,Spinach,15,17 - 19,18 - 25
377,2024-05-07,Sweet Potato,38,44 - 48,46 - 63
378,2024-05-08,Onion Big,24,28 - 30,29 - 40
379,2024-05-08,Onion Small,38,44 - 48,46 - 63
380,2024-05-08,Tomato,27,31 - 34,32 - 45
381,2024-05-08,Green Chilli,43,49 - 55,52 - 71
382,2024-05-08,Beetroot,35,40 - 44,42 - 58
383,2024-05-08,Potato,32,37 - 41,38 - 53
384,2024-05-08,Raw Banana (Plantain),9,10 - 11,11 - 15
385,2024-05-08,Amaranth Leaves,12,14 - 15,14 - 20
386,2024-05-08,Amla,60,69 - 76,72 - 99
387,2024-05-08,Ash gourd,19,22 - 24,23 - 31
388,2024-05-08,Baby Corn,48,55 - 61,58 - 79
389,2024-05-08,Banana Flower,19,22 - 24,23 - 31
390,2024-05-08,Capsicum,48,55 - 61,58 - 79
391,2024-05-08,Bitter Gourd,33,38 - 42,40 - 54
392,2024-05-08,Bottle Gourd,24,28 - 30,29 - 40
393,2024-05-08,Butter Beans,48,55 - 61,58 - 79
394,2024-05-08,Broad Beans,27,31 - 34,32 - 45
395,2024-05-08,Cabbage,20,23 - 25,24 - 33
396,2024-05-08,Carrot,46,53 - 58,55 - 76
397,2024-05-08,Cauliflower,24,28 - 30,29 - 40
398,2024-05-08,Cluster beans,43,49 - 55,52 - 71
399,2024-05-08,Coconut,36,41 - 46,43 - 59
400,2024-05-08,Colocasia Leaves,15,17 - 19,18 - 25
401,2024-05-08,Colocasia,25,29 - 32,30 - 41
402,2024-05-08,Coriander Leaves,10,12 - 13,12 - 17
403,2024-05-08,Corn,26,30 - 33,31 - 43
404,2024-05-08,Cucumber,27,31 - 34,32 - 45
405,2024-05-08,Curry Leaves,29,33 - 37,35 - 48
406,2024-05-08,Dill Leaves,10,12 - 13,12 - 17
407,2024-05-08,Drumsticks,50,58 - 64,60 - 83
408,2024-05-08,Brinjal,22,25 - 28,26 - 36
409,2024-05-08,Brinjal (Big),20,23 - 25,24 - 33
410,2024-05-08,Elephant Yam,26,30 - 33,31 - 43
411,2024-05-08,Fenugreek Leaves,10,12 - 13,12 - 17
412,2024-05-08,French Beans,52,60 - 66,62 - 86
413,2024-05-08,Garlic,167,192 - 212,200 - 276
414,2024-05-08,Ginger,113,130 - 144,136 - 186
415,2024-05-08,Onion Green,39,45 - 50,47 - 64
416,2024-05-08,Green Peas,47,54 - 60,56 - 78
417,2024-05-08,Ivy Gourd,23,26 - 29,28 - 38
418,2024-05-08,Lemon (Lime),75,86 - 95,90 - 124
419,2024-05-08,Mango Raw,30,35 - 38,36 - 50
420,2024-05-08,Mint Leaves,4,5 - 5,5 - 7
421,2024-05-08,Mushroom,73,84 - 93,88 - 120
422,2024-05-08,Mustard Leaves,12,14 - 15,14 - 20
423,2024-05-08,Ladies Finger,42,48 - 53,50 - 69
424,2024-05-08,Pumpkin,21,24 - 27,25 - 35
425,2024-05-08,Radish,27,31 - 34,32 - 45
426,2024-05-08,Ridge Gourd,30,35 - 38,36 - 50
427,2024-05-08,Shallot (Pearl Onion),37,43 - 47,44 - 61
428,2024-05-08,Snake Gourd,23,26 - 29,28 - 38
429,2024-05-08,Sorrel Leaves,10,12 - 13,12 - 17
430,2024-05-08,Spinach,15,17 - 19,18 - 25
431,2024-05-08,Sweet Potato,38,44 - 48,46 - 63
432,2024-05-09,Onion Big,25,29 - 32,30 - 41
433,2024-05-09,Onion Small,33,38 - 42,40 - 54
434,2024-05-09,Tomato,25,29 - 32,30 - 41
435,2024-05-09,Green Chilli,40,46 - 51,48 - 66
436,2024-05-09,Beetroot,35,40 - 44,42 - 58
437,2024-05-09,Potato,31,36 - 39,37 - 51
438,2024-05-09,Raw Banana (Plantain),7,8 - 9,8 - 12
439,2024-05-09,Amaranth Leaves,13,15 - 17,16 - 21
440,2024-05-09,Amla,70,81 - 89,84 - 116
441,2024-05-09,Ash gourd,20,23 - 25,24 - 33
442,2024-05-09,Baby Corn,59,68 - 75,71 - 97
443,2024-05-09,Banana Flower,17,20 - 22,20 - 28
444,2024-05-09,Capsicum,47,54 - 60,56 - 78
445,2024-05-09,Bitter Gourd,33,38 - 42,40 - 54
446,2024-05-09,Bottle Gourd,25,29 - 32,30 - 41
447,2024-05-09,Butter Beans,48,55 - 61,58 - 79
448,2024-05-09,Broad Beans,31,36 - 39,37 - 51
449,2024-05-09,Cabbage,21,24 - 27,25 - 35
450,2024-05-09,Carrot,45,52 - 57,54 - 74
451,2024-05-09,Cauliflower,25,29 - 32,30 - 41
452,2024-05-09,Cluster beans,42,48 - 53,50 - 69
453,2024-05-09,Coconut,37,43 - 47,44 - 61
454,2024-05-09,Colocasia Leaves,12,14 - 15,14 - 20
455,2024-05-09,Colocasia,26,30 - 33,31 - 43
456,2024-05-09,Coriander Leaves,10,12 - 13,12 - 17
457,2024-05-09,Corn,29,33 - 37,35 - 48
458,2024-05-09,Cucumber,25,29 - 32,30 - 41
459,2024-05-09,Curry Leaves,26,30 - 33,31 - 43
460,2024-05-09,Dill Leaves,15,17 - 19,18 - 25
461,2024-05-09,Drumsticks,40,46 - 51,48 - 66
462,2024-05-09,Brinjal,27,31 - 34,32 - 45
